318.89,38
328.81,51
332.54,49
343.23,33
347.2,28
357.68,30
361.48,29
371.99,54
18.52,67
22.79,67
26.82,72
37.11,88
42.67,192
48.24,188
52.27,70
62.12,65
66.05,63
75.78,62
79.88,63
84.02,67
88.24,73
92.49,80
106.41,332
113.69,344
122.33,419
131.04,80
147.55,394
154.89,342
168.18,62
172.72,60
176.84,52
187.06,42
190.99,39
201.07,37
204.91,34
210.31,50
221.23,161
226.43,158
236.9,75
241.23,76
251.25,69
255.29,71
266.37,37
270.71,37
274.79,30
285.74,37
291.09,47
296.44,77
301.34,75
313.66,47
317.33,34
327.86,51
331.59,48
342.04,32
346.06,29
349.96,27
360.4,28
365.11,67
369.43,68
16.68,54
26.53,69
30.93,79
35.19,76
40.85,152
52.27,119
56.31,69
66.13,63
70.23,62
74.11,61
83.94,67
87.92,69
102.62,427
109.8,344
117.34,365
126.09,461
141.33,103
150.0,407
163.61,79
168.52,67
172.99,61
183.57,47
187.54,44
197.7,40
201.43,38
214.35,107
219.51,163
230.93,158
235.69,111
240.23,75
244.66,76
248.7,70
258.71,72
263.67,69
274.3,37
278.26,33
282.57,38
295.68,76
300.49,76
306.03,75
310.67,40
315.14,45
318.83,37
329.44,53
333.35,50
337.3,49
341.89,43
346.15,32
350.0,33
360.67,30
364.66,30
16.07,55
20.08,66
30.17,78
34.27,75
46.02,191
51.62,189
55.83,72
59.99,68
69.71,62
73.75,61
77.71,63
87.58,69
91.82,74
96.24,82
104.81,429
117.95,351
126.61,436
142.56,107
151.79,405
165.68,78
170.63,68
181.59,50
185.6,47
195.83,40
199.65,40
209.38,34
216.48,131
221.58,163
232.9,158
237.68,111
242.23,75
246.58,77
256.46,70
260.54,72
271.87,37
275.97,34
286.95,39
291.12,37
296.77,62
309.65,64
313.74,38
318.09,50
322.14,35
326.81,56
336.43,48
340.24,50
351.13,32
355.27,30
359.26,25
3.75,30
15.1,78
19.14,54
23.4,68
27.7,68
32.03,77
36.12,74
47.96,191
53.57,189
57.78,72
61.95,68
66.1,66
70.07,62
79.75,62
83.73,64
93.55,71
98.05,81
106.58,424
119.77,345
128.64,427
137.63,88
142.26,101
153.41,387
160.82,346
173.93,69
178.41,61
188.89,47
192.81,42
202.87,39
206.71,39
210.58,35
214.5,33
226.86,161
232.25,159
