0.0,274
2.81,282
8.44,282
14.06,104
19.69,109
22.5,143
25.31,141
28.12,277
33.75,227
36.56,62
53.44,76
61.88,197
64.69,194
67.5,176
81.56,184
84.38,187
143.44,45
149.06,91
151.88,107
154.69,103
157.5,103
160.31,98
165.94,98
168.75,94
171.56,84
174.38,84
180.0,91
182.81,91
185.62,110
188.44,98
191.25,106
194.06,114
199.69,111
202.5,108
205.31,137
213.75,143
216.56,153
219.38,169
222.19,169
225.0,159
230.62,151
233.44,142
236.25,136
241.88,129
250.31,133
255.94,127
264.38,129
267.19,123
270.0,125
272.81,127
281.25,141
284.06,140
289.69,144
298.12,106
306.56,73
315.0,70
317.81,83
320.62,86
323.44,77
326.25,81
329.06,273
345.94,268
348.75,266
351.56,270
354.38,275
357.19,269
0.0,270
2.81,314
5.62,299
8.44,468
19.69,360
25.31,163
30.94,159
36.56,178
39.38,150
42.19,121
53.44,27
56.25,180
61.88,204
64.69,195
70.31,191
73.12,180
78.75,187
143.44,26
146.25,61
149.06,94
151.88,93
157.5,94
160.31,96
163.12,95
168.75,94
174.38,95
177.19,85
180.0,87
182.81,100
188.44,96
191.25,108
194.06,116
196.88,116
199.69,128
208.12,140
213.75,142
216.56,169
225.0,161
227.81,158
233.44,145
239.06,144
241.88,137
247.5,132
250.31,134
255.94,132
258.75,133
264.38,135
270.0,135
272.81,137
278.44,136
281.25,144
284.06,144
289.69,124
298.12,106
306.56,71
317.81,81
320.62,85
323.44,86
326.25,89
331.88,240
334.69,272
340.31,272
345.94,271
351.56,271
354.38,273
357.19,270
0.0,272
2.81,307
5.62,290
11.25,333
19.69,373
22.5,307
28.12,295
30.94,290
45.0,83
50.62,13
53.44,44
59.06,157
61.88,196
64.69,194
67.5,182
70.31,189
75.94,187
78.75,181
81.56,182
84.38,187
132.19,15
140.62,14
143.44,51
149.06,89
151.88,92
160.31,97
165.94,96
168.75,97
171.56,98
174.38,87
180.0,86
182.81,93
185.62,93
188.44,101
196.88,114
199.69,119
202.5,119
205.31,130
208.12,143
213.75,152
216.56,163
222.19,165
225.0,158
230.62,155
233.44,155
236.25,150
239.06,151
241.88,142
244.69,136
247.5,128
250.31,130
253.12,129
258.75,126
261.56,135
264.38,138
267.19,137
270.0,135
272.81,135
275.62,133
281.25,135
286.88,138
289.69,144
292.5,116
298.12,106
300.94,106
303.75,73
306.56,63
315.0,61
317.81,78
323.44,82
329.06,90
331.88,275
337.5,269
340.31,264
348.75,262
351.56,268
357.19,266
0.0,270
2.81,306
5.62,298
8.44,294
11.25,525
19.69,364
22.5,314
28.12,279
33.75,296
39.38,287
45.0,24
50.62,29
53.44,99
61.88,169
67.5,169
70.31,190
78.75,165
84.38,189
87.19,9877
143.44,13
146.25,75
149.06,100
151.88,93
160.31,98
165.94,95
168.75,93
171.56,92
174.38,96
177.19,85
